scholar_id,given_name,family_name,full_name,is_editor,field_of_study,former_surname,field_of_study_broad
859,Corinna,Frodermann,Corinna Frodermann,False,Geschlechterforschung,,Soziologie & Gesellschaft
860,Florian,Griese,Florian Griese,False,Survey-Management,,Forschungsmanagement
861,Tobias,Gummer,Tobias Gummer,False,Familienforschung,,Soziologie & Gesellschaft
862,Achim,Koch,Achim Koch,False,Survey-Methodologie,,Methoden & Statistik
863,Anita,Kottwitz,Anita Kottwitz,False,Lebensverlaufsforschung,,Demographie & Lebensverlauf
864,Kristina,Krell,Kristina Krell,False,Soziologie,,Soziologie & Gesellschaft
865,Ulrich,Krieger,Ulrich Krieger,False,Forschungsdateninfrastruktur,,Forschungsmanagement
866,Elisabeth,Liebau,Elisabeth Liebau,False,Migrationsforschung,,Migration & Integration
867,André,Müller-Kuller,André Müller-Kuller,False,Studienmanagement,,Forschungsmanagement
868,Ines,Schaurer,Ines Schaurer,False,Survey-Methodologie,,Methoden & Statistik
869,Annette,Scherpenzeel,Annette Scherpenzeel,False,Survey-Methodologie,,Methoden & Statistik
870,Claudia,Schmiedeberg,Claudia Schmiedeberg,False,Familiensoziologie,,Soziologie & Gesellschaft
871,Tobias,Schmidt,Tobias Schmidt,False,Haushaltsökonomik,,Ökonomie & Arbeitsmarkt
872,Christian,Schnaudt,Christian Schnaudt,False,Politisches Verhalten,,Politikwissenschaft
873,Sascha,Verhoeven,Sascha Verhoeven,False,Sozialwissenschaften,,Soziologie & Gesellschaft
874,Anouk,Zabal,Anouk Zabal,False,Sozialwissenschaften,,Soziologie & Gesellschaft
875,Alice,Melchior,Alice Melchior,False,Digitalisierung,,"Medien, Digitalisierung & Technik"
876,Julia,Gerick,Julia Gerick,False,Schulpädagogik,,Bildung & Erziehungswissenschaft
877,Thorsten,Euler,Thorsten Euler,False,Survey-Methodologie,,Methoden & Statistik
878,Malte,Sandner,Malte Sandner,False,Data Science,,"Medien, Digitalisierung & Technik"
879,Lukas,Mergele,Lukas Mergele,False,Mikroökonomik,,Ökonomie & Arbeitsmarkt
880,Johanna,Raith,Johanna Raith,False,Arbeitsmarktökonomik,,Ökonomie & Arbeitsmarkt
881,Jasmin,Meyer,Jasmin Meyer,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
882,Susanne,Strauss,Susanne Strauss,False,Geschlechtersoziologie,,Soziologie & Gesellschaft
883,Stefanie,Findeisen,Stefanie Findeisen,False,Wirtschaftspädagogik,,Bildung & Erziehungswissenschaft
884,Maria,Richter,Maria Richter,False,Bildungs- und Arbeitsmarktsoziologie,,Ökonomie & Arbeitsmarkt
885,Karoline,Mikus,Karoline Mikus,False,Soziologie,,Soziologie & Gesellschaft
886,Nicole,Tieben,Nicole Tieben,False,Soziologie,,Soziologie & Gesellschaft
887,Ralf,Minor,Ralf Minor,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
888,Ellen,Winkler,Ellen Winkler,False,Empirische Sozialforschung,,Soziologie & Gesellschaft
889,Sog Yee,Mok,Sog Yee Mok,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
890,Markus P.,Neuenschwander,Markus P. Neuenschwander,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
891,Katharina,Molitor,Katharina Molitor,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
892,Kathrin,Thums,Kathrin Thums,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
895,Walter,Müller,Walter Müller,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
896,Sonja,Meixner,Sonja Meixner,False,Survey-Methodologie,,Methoden & Statistik
897,Manuel,Munz,Manuel Munz,False,Survey-Methodologie,,Methoden & Statistik
898,Knut,Wenzig,Knut Wenzig,False,Dateninfrastruktur,,Forschungsmanagement
899,Michael,Mutz,Michael Mutz,False,Sozialwissenschaften des Sports,,Soziologie & Gesellschaft
900,Max,Nachbauer,Max Nachbauer,False,Schul- und Unterrichtsforschung,,Bildung & Erziehungswissenschaft
901,Leonidas,Kyriakides,Leonidas Kyriakides,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
902,Sandra,Gilgen,Sandra Gilgen,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
903,Wolfgang,Schneider,Wolfgang Schneider,False,Pädagogische Psychologie und Entwicklungspsychologie,,Psychologie
904,Oliver,Klein,Oliver Klein,False,Integrationsforschung,,Migration & Integration
905,Miriam,Schmaus,Miriam Schmaus,False,Migrationsforschung,,Migration & Integration
906,Wenke,Niehues,Wenke Niehues,False,Migrationsforschung,,Migration & Integration
907,Yasemin,Kisbu-Sakarya,Yasemin Kisbu-Sakarya,False,Psychologie,,Psychologie
908,Bilge,Selcuk,Bilge Selcuk,False,Entwicklungspsychologie,,Psychologie
909,Désirée,Nießen,Désirée Nießen,False,Übergänge im Lebensverlauf,,Demographie & Lebensverlauf
910,Marion,Spengler,Marion Spengler,False,Differentielle Psychologie,,Psychologie
911,Ingrid,Schoon,Ingrid Schoon,False,Soziale Ungleichheit im Karriereverlauf,,Soziologie & Gesellschaft
912,Annika,Nissen,Annika Nissen,False,Betriebswirtschaftslehre,,Ökonomie & Arbeitsmarkt
913,Malgorzata,Lipowska,Malgorzata Lipowska,False,Entwicklungspsychologie,,Psychologie
914,Katharina,Nuss,Katharina Nuss,False,Kulturelle Bildung,,Bildung & Erziehungswissenschaft
915,Pia,Schrot,Pia Schrot,False,Soziologie,,Soziologie & Gesellschaft
916,Natalie,Obergruber,Natalie Obergruber,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
917,Fabian,Ochsenfeld,Fabian Ochsenfeld,False,Wirtschaftssoziologie,,Ökonomie & Arbeitsmarkt
918,Melike,Ömeroğulları,Melike Ömeroğulları,False,Schul- und Unterrichtsforschung,,Bildung & Erziehungswissenschaft
919,Michaela,Gläser-Zikuda,Michaela Gläser-Zikuda,False,Empirische Unterrichtsforschung,,Bildung & Erziehungswissenschaft
920,Niamh,Oeri,Niamh Oeri,False,Entwicklungspsychologie,,Psychologie
921,Gabriel,Olaru,Gabriel Olaru,False,Differentielle Psychologie,,Psychologie
922,Alexander,Robitzsch,Alexander Robitzsch,False,Large-Scale Assessment,,Bildung & Erziehungswissenschaft
923,Andrea,Hildebrandt,Andrea Hildebrandt,False,Psychologische Methoden und Statistik,,Methoden & Statistik
924,Hannah,Glinka,Hannah Glinka,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
925,Katharina,Werner,Katharina Werner,False,Angewandte Ökonometrie,,Ökonomie & Arbeitsmarkt
926,Anna,Volodina,Anna Volodina,False,Germanistik,,Fachdidaktiken
927,Franziska,Cohen,Franziska Cohen,False,Kindheitspädagogik,,Bildung & Erziehungswissenschaft
928,Katrin,Wolf,Katrin Wolf,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
929,Judith,Grützmacher,Judith Grützmacher,False,Forschungsdateninfrastruktur,,Forschungsmanagement
931,Derya,Özbağcı,Derya Özbağcı,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
932,Jonas,Breetzke,Jonas Breetzke,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
933,Carla,Bohndick,Carla Bohndick,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
934,Lidia,Panico,Lidia Panico,False,Demografie,,Demographie & Lebensverlauf
935,Qianqian,Pan,Qianqian Pan,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
936,Frank,Reichert,Frank Reichert,False,Politische Bildung,,Politikwissenschaft
937,Qianru,Liang,Qianru Liang,False,Survey-Methoden,,Methoden & Statistik
938,Jimmy,De La Torre,Jimmy De La Torre,False,Survey-Methodologie,,Methoden & Statistik
939,Nancy,Law,Nancy Law,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
940,Giampiero,Passaretta,Giampiero Passaretta,False,Soziologie,,Soziologie & Gesellschaft
941,Thomas,Van Huizen,Thomas Van Huizen,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
