author1_id,author2_id,paper_id,year,journal,title
17,23,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
18,21,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
18,22,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
18,23,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
21,22,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
21,23,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
22,23,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
55,132,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
55,270,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
55,281,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
132,270,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
132,281,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
270,281,WOS:000246514500001,2007,LEARNING AND INSTRUCTION,Coaching for the PISA test
38,178,WOS:000877658700006,2023,LEARNING AND INSTRUCTION,"Why do students exhibit different attention-related behavior during
instruction? Investigating effects of individual and context-dependent
determinants"
149,800,WOS:000344439700004,2014,LEARNING AND INSTRUCTION,"Impact of social and dimensional comparisons on student's mathematical
and English subject-interest at the beginning of secondary school"
149,958,WOS:000344439700004,2014,LEARNING AND INSTRUCTION,"Impact of social and dimensional comparisons on student's mathematical
and English subject-interest at the beginning of secondary school"
800,958,WOS:000344439700004,2014,LEARNING AND INSTRUCTION,"Impact of social and dimensional comparisons on student's mathematical
and English subject-interest at the beginning of secondary school"
149,150,WOS:000599715900003,2021,LEARNING AND INSTRUCTION,"Should I stay or should I go? Predictors and effects of studying abroad
during high school"
279,282,WOS:000640137900001,2021,METACOGNITION AND LEARNING,"Comparing metacognitive monitoring between native and non-native
speaking primary school students"
55,83,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
55,425,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
55,563,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
83,425,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
83,563,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
425,563,WOS:000345143100005,2014,METACOGNITION AND LEARNING,"Assessment of metacognitive knowledge in students with special
educational needs"
245,246,WOS:001202588100001,2024,LEARNING AND INSTRUCTION,"Student well-being, perceived teacher error management, and perceived
teacher justice"
28,55,WOS:000262742800007,2009,LEARNING AND INSTRUCTION,"Systematic reading training in the family: Development, implementation,
and initial evaluation of the Berlin Parent-Child Reading Program"
135,270,WOS:000407550200003,2017,JOURNAL OF EXPERIMENTAL EDUCATION,Extension Procedures for Confirmatory Factor Analysis
149,150,WOS:001556675000001,2025,LEARNING AND INSTRUCTION,Efficacy of an intervention to promote spatial thinking skills
149,150,WOS:000487702500001,2021,JOURNAL OF EXPERIMENTAL EDUCATION,"Using Multilevel Mixture Models in Educational Research: An Illustration
With Homework Research"
69,83,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
69,412,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
69,425,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
69,554,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
83,412,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
83,425,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
83,554,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
412,425,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
412,554,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
425,554,WOS:000345143100001,2014,METACOGNITION AND LEARNING,Metacognitive knowledge in children at early elementary school
149,150,WOS:000418851900007,2018,JOURNAL OF EXPERIMENTAL EDUCATION,"Learning More From Educational Intervention Studies: Estimating Complier
Average Causal Effects in a Relevance Intervention"
128,129,WOS:000659531000013,2021,LEARNING AND INSTRUCTION,"At a first glance-How reliable and valid is the thin slices technique to
assess instructional quality?{*}"
128,673,WOS:000659531000013,2021,LEARNING AND INSTRUCTION,"At a first glance-How reliable and valid is the thin slices technique to
assess instructional quality?{*}"
129,673,WOS:000659531000013,2021,LEARNING AND INSTRUCTION,"At a first glance-How reliable and valid is the thin slices technique to
assess instructional quality?{*}"
85,86,WOS:001693265600001,2026,STUDIES IN EDUCATIONAL EVALUATION,"Reading more, achieving more? Long-term gender gaps in reading behavior
and reading achievement"
28,133,WOS:000347274300007,2015,LEARNING AND INSTRUCTION,"Effects of immigrant background on text comprehension, vocabulary, and
reading motivation: A longitudinal study"
149,1032,WOS:000303574800003,2012,EDUCATIONAL PSYCHOLOGIST,"Classroom Climate and Contextual Effects: Conceptual and Methodological
Issues in the Evaluation of Group-Level Effects"
149,150,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
149,505,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
149,910,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
149,1015,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
150,505,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
150,910,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
150,1015,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
505,910,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
505,1015,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
910,1015,WOS:000804456000009,2022,LEARNING AND INSTRUCTION,"The persistence of students? academic effort: The unique and combined
effects of conscientiousness and individual interest"
33,83,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
33,129,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
33,227,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
33,298,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
83,129,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
83,227,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
83,298,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
129,227,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
129,298,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
227,298,WOS:000302037900006,2012,EARLY CHILDHOOD RESEARCH QUARTERLY,"Home and preschool learning environments and their relations to the
development of early numeracy skills"
155,525,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
155,1076,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
155,1202,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
525,1076,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
525,1202,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
1076,1202,WOS:001498770800010,2025,SOCIAL INCLUSION,"The Role of Contexts in Educational and Employment Transitions and
Pathways of Young People"
155,1202,WOS:000484681200012,2019,SOCIAL INCLUSION,"The Interplay between Education, Skills, and Job Quality"
154,525,WOS:001498770800002,2025,SOCIAL INCLUSION,"Preparing Transitions: The Impact of Vocational Role Models on
Occupational Aspirations Within Social Contexts"
